image_id,true_grade,p0,p1,p2,p3,p4,red_q,bright_q
idrid__idrid_train_IDRiD_396,0,0.4726626575,0.1585821658,0.1428289413,0.1702615023,0.0556646772,0 0 0 0,0 0 0 0
idrid__idrid_train_IDRiD_189,4,0.0084189055,0.0089740492,0.1301819086,0.4742934406,0.3781316578,0 11 0 8,7 28 1 3
idrid__idrid_train_IDRiD_255,0,0.9509443045,0.0208975542,0.0084443819,0.0088205962,0.0108929640,0 4 2 0,0 0 1 1
idrid__idrid_train_IDRiD_216,2,0.5198529959,0.1825296879,0.2601179481,0.0106092077,0.0268901829,2 1 2 2,2 0 0 0
idrid__idrid_train_IDRiD_397,2,0.0323030911,0.0447857231,0.3068963289,0.5954429507,0.0205719136,7 9 3 8,0 0 0 0
idrid__idrid_train_IDRiD_242,2,0.0162911676,0.0429172739,0.3227362931,0.5801676512,0.0378876254,6 7 6 7,4 13 1 0
idrid__idrid_train_IDRiD_267,0,0.9247418642,0.0260144304,0.0191545095,0.0150951594,0.0149939451,4 7 5 0,17 4 8 3
idrid__idrid_train_IDRiD_203,1,0.4094684720,0.3866046965,0.1895585805,0.0055726115,0.0087955762,0 2 1 0,0 4 0 1
idrid__idrid_train_IDRiD_284,2,0.0050930306,0.2914632857,0.6703847051,0.0294037554,0.0036553063,2 2 0 1,3 0 14 2
idrid__idrid_train_IDRiD_290,1,0.7705164552,0.1263679564,0.0543781817,0.0244058166,0.0243316330,1 1 0 1,2 0 0 1
idrid__idrid_train_IDRiD_309,3,0.0082990043,0.0112425936,0.2616259456,0.6375458837,0.0812866092,11 9 11 9,20 27 35 21
idrid__idrid_train_IDRiD_343,2,0.0177924689,0.0484897979,0.2279311568,0.6856684685,0.0201180670,5 5 9 2,25 16 14 11
idrid__idrid_train_IDRiD_395,0,0.1942057610,0.2933561206,0.4419764578,0.0476772711,0.0227844194,0 1 0 2,0 0 0 0
idrid__idrid_train_IDRiD_351,0,0.2446531355,0.1446876079,0.3090959489,0.2622429430,0.0393204428,1 1 0 0,0 0 0 0
idrid__idrid_train_IDRiD_231,2,0.0172313359,0.0824585110,0.5476996303,0.3000923991,0.0525181293,9 18 4 12,6 36 3 28
idrid__idrid_train_IDRiD_277,3,0.0062407316,0.0138296653,0.1801890284,0.6834263206,0.1163142920,13 19 12 7,2 4 3 0
idrid__idrid_test_IDRiD_007,3,0.0161763150,0.0064153955,0.0240896419,0.8702533841,0.0830652639,11 8 3 7,1 0 0 0
idrid__idrid_train_IDRiD_298,0,0.9055590034,0.0499640927,0.0164286569,0.0138299372,0.0142183881,3 0 0 0,4 1 1 0
idrid__idrid_train_IDRiD_219,0,0.7698425055,0.0667761415,0.0630644262,0.0527249575,0.0475919917,0 1 0 0,0 1 1 0
idrid__idrid_train_IDRiD_253,3,0.0038146533,0.0021334731,0.0391787775,0.9016803503,0.0531927608,10 10 10 22,3 22 0 4
idrid__idrid_test_IDRiD_083,2,0.2107950598,0.1275783479,0.4710704684,0.0488745160,0.1416816562,9 1 2 2,1 1 0 4
idrid__idrid_test_IDRiD_072,2,0.0049633076,0.0028775900,0.0505209379,0.2079912424,0.7336468697,1 8 1 7,4 14 23 15
idrid__idrid_train_IDRiD_327,3,0.0176648106,0.0061756917,0.0105448486,0.2518523932,0.7137622833,13 10 30 17,12 3 7 5
idrid__idrid_test_IDRiD_043,0,0.3189203441,0.3775690794,0.2526373565,0.0359383523,0.0149348546,1 1 0 0,0 0 0 0
idrid__idrid_test_IDRiD_096,0,0.3717876971,0.3728627861,0.2317127585,0.0135879181,0.0100488868,0 2 1 0,1 0 2 1
idrid__idrid_train_IDRiD_240,4,0.0064405357,0.0060005207,0.0076352400,0.1597130448,0.8202106953,24 28 20 11,35 4 32 11
idrid__idrid_train_IDRiD_357,3,0.0100950990,0.0098740300,0.0919303298,0.4373670220,0.4507335424,7 25 16 39,0 6 1 10
idrid__idrid_train_IDRiD_338,2,0.0327938013,0.1239350140,0.5318962932,0.2968284786,0.0145464744,3 2 0 0,14 5 0 2
idrid__idrid_test_IDRiD_094,0,0.5113447309,0.1255323291,0.2990828753,0.0186232533,0.0454168543,7 3 7 3,0 0 0 0
idrid__idrid_train_IDRiD_228,0,0.9262624383,0.0605214573,0.0072255190,0.0024250518,0.0035655198,0 0 0 0,0 0 0 2
idrid__idrid_train_IDRiD_233,0,0.9415833950,0.0360509716,0.0106842872,0.0052406508,0.0064406474,1 3 0 0,1 0 0 0
idrid__idrid_train_IDRiD_354,3,0.0233169775,0.0156459883,0.1887464970,0.6732738018,0.0990166962,7 4 8 15,46 19 42 42
idrid__idrid_train_IDRiD_291,1,0.8309170604,0.0998819768,0.0326429419,0.0214881618,0.0150697958,0 0 0 1,1 0 0 0
idrid__idrid_train_IDRiD_268,0,0.7578080893,0.1260387301,0.1007457227,0.0080374982,0.0073699728,0 1 0 1,0 0 0 0
idrid__idrid_test_IDRiD_051,2,0.0556978025,0.0763862282,0.5984064937,0.1987937093,0.0707157478,2 1 2 0,0 4 6 21
idrid__idrid_train_IDRiD_405,2,0.3425366879,0.2340701669,0.3609480858,0.0437503830,0.0186946988,1 1 0 0,1 0 0 1
idrid__idrid_train_IDRiD_197,0,0.6054000854,0.2222951055,0.0984799787,0.0490077995,0.0248170029,0 0 0 0,1 0 0 1
idrid__idrid_train_IDRiD_281,2,0.0005107394,0.9027988315,0.0962996110,0.0001753397,0.0002154203,4 5 2 1,15 1 0 0
idrid__idrid_train_IDRiD_213,0,0.9512666464,0.0327909924,0.0099482713,0.0027390025,0.0032551670,1 0 0 0,0 3 0 0
idrid__idrid_train_IDRiD_270,2,0.6176783442,0.1908915043,0.0798454061,0.0468074158,0.0647773966,1 0 0 0,0 0 0 0
idrid__idrid_train_IDRiD_280,2,0.0119621921,0.7259661555,0.2493251860,0.0093483413,0.0033981958,3 11 3 4,0 5 2 1
idrid__idrid_test_IDRiD_082,2,0.1440694183,0.6884676814,0.1562122256,0.0052692336,0.0059814844,0 3 1 3,2 2 0 0
idrid__idrid_train_IDRiD_272,4,0.0145250214,0.0134996017,0.0515429266,0.6747481227,0.2456843704,40 26 41 18,19 48 6 7
idrid__idrid_test_IDRiD_003,4,0.0608085729,0.0449422896,0.3149900436,0.4043694437,0.1748896241,6 7 1 1,1 0 0 2
idrid__idrid_train_IDRiD_342,0,0.7743244767,0.0775559619,0.0677265003,0.0495133400,0.0308797024,1 2 0 0,1 0 0 1
idrid__idrid_test_IDRiD_062,4,0.0122226700,0.0019880137,0.0081768567,0.1133776382,0.8642348051,7 9 15 7,0 0 12 1
idrid__idrid_test_IDRiD_099,0,0.4090479314,0.1332217157,0.2031447589,0.1873798817,0.0672056749,0 2 0 0,0 0 0 0
idrid__idrid_test_IDRiD_055,0,0.4683690071,0.1930278689,0.2633805275,0.0517442189,0.0234783702,0 1 0 0,0 0 0 0
idrid__idrid_train_IDRiD_299,3,0.0019696138,0.0017772957,0.0043060221,0.0735186413,0.9184283614,30 9 18 5,3 4 5 5
idrid__idrid_train_IDRiD_392,4,0.0012457035,0.0012089021,0.0380075872,0.9251701236,0.0343676917,18 8 13 7,7 7 2 1
idrid__idrid_test_IDRiD_092,0,0.7960841656,0.1289460510,0.0460244007,0.0191973727,0.0097480146,0 0 0 0,0 0 0 0
idrid__idrid_train_IDRiD_275,0,0.6212320924,0.0627318919,0.1769775450,0.0600162707,0.0790421814,1 5 0 0,0 0 0 0
